queue,folder,url,id,type,pageUpdated
erpm,applications,https://www.oracle.com/applications/apps-benchmarks/e-business-suite/,RC24v1,a11y-true,false
erpm,applications,https://www.oracle.com/applications/apps-benchmarks/e-business-suite/,CC02v3,a11y-true,false
erpm,applications,https://www.oracle.com/applications/apps-benchmarks/e-business-suite/,RC24v1,a11y-true,false
erpm,applications,https://www.oracle.com/applications/apps-benchmarks/e-business-suite/,CC02v3,a11y-true,false
erpm,applications,https://www.oracle.com/applications/apps-benchmarks/e-business-suite/,RC24v1,a11y-true,false
erpm,applications,https://www.oracle.com/applications/apps-benchmarks/e-business-suite/,CC02v3,a11y-true,false
erpm,applications,https://www.oracle.com/applications/apps-benchmarks/e-business-suite/,CC01,a11y-unknown,false
erpm,applications,https://www.oracle.com/applications/apps-benchmarks/peoplesoft/,U03v6,a11y-unknown,false
erpm,applications,https://www.oracle.com/applications/apps-benchmarks/peoplesoft/,RC24v1,a11y-true,false
erpm,applications,https://www.oracle.com/applications/apps-benchmarks/peoplesoft/,CC02v3,a11y-true,false
erpm,applications,https://www.oracle.com/applications/apps-benchmarks/peoplesoft/,CC01,a11y-unknown,false
erpm,applications,https://www.oracle.com/applications/apps-benchmarks/peoplesoft/,CC02v3,a11y-true,false
erpm,applications,https://www.oracle.com/applications/apps-benchmarks/peoplesoft/,CC01,a11y-unknown,false
erpm,applications,https://www.oracle.com/applications/apps-benchmarks/peoplesoft/,CC02v3,a11y-true,false
erpm,applications,https://www.oracle.com/applications/apps-benchmarks/peoplesoft/,CC01,a11y-unknown,false
erpm,applications,https://www.oracle.com/applications/apps-benchmarks/peoplesoft/,CC02v3,a11y-true,false
erpm,applications,https://www.oracle.com/applications/apps-benchmarks/peoplesoft/,CC01,a11y-unknown,false
erpm,applications,https://www.oracle.com/applications/apps-benchmarks/peoplesoft/,CC02v3,a11y-true,false
erpm,applications,https://www.oracle.com/applications/apps-benchmarks/peoplesoft/,CC01,a11y-unknown,false
erpm,applications,https://www.oracle.com/applications/apps-benchmarks/peoplesoft/,CC02v3,a11y-true,false
erpm,applications,https://www.oracle.com/applications/autovue/,BGIMGW1,a11y-unknown,false
erpm,applications,https://www.oracle.com/applications/autovue/,RC30v1,a11y-unknown,false
erpm,applications,https://www.oracle.com/applications/autovue/,RC11v1,a11y-true,false
erpm,applications,https://www.oracle.com/applications/autovue/,RC31,a11y-true,false
erpm,applications,https://www.oracle.com/applications/autovue/autovue-2dprofessional/,BGIMGW1,a11y-unknown,false
erpm,applications,https://www.oracle.com/applications/autovue/autovue-2dprofessional/,RC30v1,a11y-unknown,false
erpm,applications,https://www.oracle.com/applications/autovue/autovue-2dprofessional/,RC11v1,a11y-true,false
erpm,applications,https://www.oracle.com/applications/autovue/autovue-2dprofessional/,RC31,a11y-true,false
erpm,applications,https://www.oracle.com/applications/autovue/autovue-3d-professional-advanced/,BGIMGW1,a11y-unknown,false
erpm,applications,https://www.oracle.com/applications/autovue/autovue-3d-professional-advanced/,RC30v1,a11y-unknown,false
erpm,applications,https://www.oracle.com/applications/autovue/autovue-3d-professional-advanced/,RC11v1,a11y-true,false
erpm,applications,https://www.oracle.com/applications/autovue/autovue-3d-professional-advanced/,RC31,a11y-true,false
erpm,applications,https://www.oracle.com/applications/autovue/autovue-eda-professional/,BGIMGW1,a11y-unknown,false
erpm,applications,https://www.oracle.com/applications/autovue/autovue-eda-professional/,RC30v1,a11y-unknown,false
erpm,applications,https://www.oracle.com/applications/autovue/autovue-eda-professional/,RC11v1,a11y-true,false
erpm,applications,https://www.oracle.com/applications/autovue/autovue-eda-professional/,RC31,a11y-true,false
erpm,applications,https://www.oracle.com/applications/autovue/autovue-electro-mechanical-professional/,BGIMGW1,a11y-unknown,false
erpm,applications,https://www.oracle.com/applications/autovue/autovue-electro-mechanical-professional/,RC30v1,a11y-unknown,false
erpm,applications,https://www.oracle.com/applications/autovue/autovue-electro-mechanical-professional/,RC11v1,a11y-true,false
erpm,applications,https://www.oracle.com/applications/autovue/autovue-electro-mechanical-professional/,RC31,a11y-true,false
erpm,applications,https://www.oracle.com/applications/autoVue/autovue-integrations/,BGIMGW1,a11y-unknown,false
erpm,applications,https://www.oracle.com/applications/autoVue/autovue-integrations/,RC30v1,a11y-unknown,false
erpm,applications,https://www.oracle.com/applications/autoVue/autovue-integrations/,RC11v1,a11y-true,false
erpm,applications,https://www.oracle.com/applications/autoVue/autovue-integrations/,RC31,a11y-true,false
erpm,applications,https://www.oracle.com/applications/autovue/autovue-office/,BGIMGW1,a11y-unknown,false
erpm,applications,https://www.oracle.com/applications/autovue/autovue-office/,RC30v1,a11y-unknown,false
erpm,applications,https://www.oracle.com/applications/autovue/autovue-office/,RC11v1,a11y-true,false
erpm,applications,https://www.oracle.com/applications/autovue/autovue-office/,RC31,a11y-true,false
erpm,applications,https://www.oracle.com/applications/autovue/autovue-web-visualization/,BGIMGW1,a11y-unknown,false
erpm,applications,https://www.oracle.com/applications/autovue/autovue-web-visualization/,RC30v1,a11y-unknown,false
erpm,applications,https://www.oracle.com/applications/autovue/autovue-web-visualization/,RC11v1,a11y-true,false
erpm,applications,https://www.oracle.com/applications/autovue/autovue-web-visualization/,RC31,a11y-true,false
erpm,applications,https://www.oracle.com/applications/category.html,BGIMGW1,a11y-unknown,false
erpm,applications,https://www.oracle.com/applications/category.html,RC68,a11y-unknown,false
erpm,applications,https://www.oracle.com/applications/category.html,RC24,a11y-true,false
erpm,applications,https://www.oracle.com/applications/category.html,RC24,a11y-true,false
erpm,applications,https://www.oracle.com/applications/category.html,RC24,a11y-true,false
erpm,applications,https://www.oracle.com/applications/category.html,RC24,a11y-true,false
erpm,applications,https://www.oracle.com/applications/category.html,RC24,a11y-true,false
erpm,applications,https://www.oracle.com/applications/category.html,RC24,a11y-true,false
erpm,applications,https://www.oracle.com/applications/category.html,RC24,a11y-true,false
erpm,applications,https://www.oracle.com/applications/category.html,RC24,a11y-true,false
erpm,applications,https://www.oracle.com/applications/category.html,RC24,a11y-true,false
erpm,applications,https://www.oracle.com/applications/cloud-applications-guide-ebook/,RH03v3,a11y-true,false
erpm,applications,https://www.oracle.com/applications/cloud-applications-guide-ebook/,RT01,a11y-unknown,false
erpm,applications,https://www.oracle.com/applications/cloud-applications-guide-ebook/,RT01,a11y-unknown,false
erpm,applications,https://www.oracle.com/applications/cloud-applications-guide-ebook/,RC24,a11y-true,false
erpm,applications,https://www.oracle.com/applications/cloud-applications-guide-ebook/,RC10,a11y-ready,false
erpm,applications,https://www.oracle.com/applications/cloud-applications-guide-ebook/,RC71,a11y-true,false
erpm,applications,https://www.oracle.com/applications/cloud-applications-guide-ebook/,RC38v2,a11y-true,false
erpm,applications,https://www.oracle.com/applications/cloud-applications-guide-ebook/,RT01,a11y-unknown,false
erpm,applications,https://www.oracle.com/applications/cloud-applications-guide-ebook/,RC24,a11y-true,false
erpm,applications,https://www.oracle.com/applications/cloud-applications-guide-ebook/,RC71,a11y-true,false
erpm,applications,https://www.oracle.com/applications/cloud-applications-guide-ebook/,RC24v1,a11y-ready,false
erpm,applications,https://www.oracle.com/applications/cloud-applications-guide-ebook/,RC71,a11y-true,false
erpm,applications,https://www.oracle.com/applications/cloud-applications-guide-ebook/,RC38v2,a11y-true,false
erpm,applications,https://www.oracle.com/applications/cloud-applications-guide-ebook/,RT01,a11y-unknown,false
erpm,applications,https://www.oracle.com/applications/cloud-applications-guide-ebook/,RC24,a11y-true,false
erpm,applications,https://www.oracle.com/applications/cloud-applications-guide-ebook/,RC24v1,a11y-ready,false
erpm,applications,https://www.oracle.com/applications/cloud-applications-guide-ebook/,RC39,a11y-true,false
erpm,applications,https://www.oracle.com/applications/cloud-applications-guide-ebook/,RC24v1,a11y-ready,false
erpm,applications,https://www.oracle.com/applications/cloud-applications-guide-ebook/,RC71,a11y-true,false
erpm,applications,https://www.oracle.com/applications/cloud-applications-guide-ebook/,RC39,a11y-true,false
erpm,applications,https://www.oracle.com/applications/cloud-applications-guide-ebook/,RC39,a11y-true,false
erpm,applications,https://www.oracle.com/applications/cloud-applications-guide-ebook/,RC39,a11y-true,false
erpm,applications,https://www.oracle.com/applications/cloud-applications-guide-ebook/,RC71,a11y-true,false
erpm,applications,https://www.oracle.com/applications/cloud-applications-guide-ebook/,RC10,a11y-ready,false
